72.94037963,214.1381721,2.473138248,0.363058069
72.57732156,211.6650339,2.403528628,0.429041922
72.14827964,209.2615053,2.333919009,0.495025775
71.65325387,206.9275863,2.26430939,0.561009628
71.09224424,204.6632769,2.194699771,0.626993481
70.46525076,202.4685771,2.125090151,0.692977334
69.77227342,200.3434869,2.055480532,0.758961187
69.01331224,198.2880064,1.985870913,0.824945039
68.1883672,196.3021355,1.916261294,0.890928892
67.2974383,194.3858742,1.846651674,0.956912745
66.34052556,192.5392225,1.777042055,1.022896598
65.31762896,190.7621805,1.707432436,1.088880451
64.22874851,189.054748,1.637822817,1.154864304
63.07388421,187.4169252,1.568213197,1.220848156
61.85303605,185.848712,1.498603578,1.286832009
60.56620404,184.3501084,1.428993959,1.352815862
59.21338818,182.9211145,1.35938434,1.418799715
57.79458846,181.5617301,1.289774721,1.484783568
56.3098049,180.2719554,1.389774721,1.444783568
54.86502133,178.8821807,1.489774721,1.404783568
53.46023776,177.392406,1.589774721,1.364783568
52.09545419,175.8026313,1.689774721,1.324783568
50.77067063,174.1128565,1.789774721,1.284783568
49.48588706,172.3230818,1.889774721,1.244783568
48.24110349,170.4333071,1.989774721,1.204783568
47.03631992,168.4435324,2.089774721,1.164783568
45.87153635,166.3537577,2.189774721,1.124783568
44.74675279,164.1639829,2.289774721,1.084783568
43.66196922,161.8742082,2.389774721,1.044783568
42.61718565,159.4844335,2.489774721,1.004783568
41.61240208,156.9946588,2.589774721,0.964783568
40.64761852,154.4048841,2.689774721,0.924783568
39.72283495,151.7151093,2.789774721,0.884783568
38.83805138,148.9253346,2.889774721,0.844783568
37.99326781,146.0355599,2.989774721,0.804783568
37.18848424,143.0457852,3.089774721,0.764783568
36.42370068,139.9560105,3.189774721,0.724783568
35.69891711,136.7662357,3.289774721,0.684783568
35.01413354,133.476461,3.389774721,0.644783568
34.36934997,130.0866863,3.489774721,0.604783568
33.7645664,126.5969116,3.589774721,0.564783568
33.19978284,123.0071368,3.689774721,0.524783568
32.67499927,119.3173621,3.789774721,0.484783568
